"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1004720,43400,"Arenaria biflora L.",NA,"Caryophyllaceae",NA,9,1938,2024,NA,"Least concern",NA
1004730,43505,"Arenaria ciliata aggr.",NA,"Caryophyllaceae",NA,7,2009,2011,NA,"Least concern",NA
1004810,44300,"Arenaria serpyllifolia L.",NA,"Caryophyllaceae",NA,4,2013,2025,NA,"Least concern",NA
1004800,44305,"Arenaria serpyllifolia aggr.",NA,"Caryophyllaceae",NA,5,2013,2025,NA,"Least concern",NA
1004910,45700,"Arnica montana L.",NA,"Asteraceae",NA,17,1982,2025,NA,"Least concern",NA
1004930,45900,"Arrhenatherum elatius (L.) J. Presl & C. Presl",NA,"Poaceae",NA,5,2013,2025,NA,"Least concern",NA
1005080,47000,"Artemisia genipi Weber",NA,"Asteraceae",NA,2,1982,2011,NA,"Least concern",NA
1005280,49100,"Asperugo procumbens L.",NA,"Boraginaceae",NA,26,2003,2025,NA,"Near threatened",NA
1005550,51400,"Asplenium trichomanes L.",NA,"Aspleniaceae",NA,1,2011,2011,NA,"Least concern",NA
1005610,51500,"Asplenium viride Huds.",NA,"Aspleniaceae",NA,5,1982,2025,NA,"Least concern",NA
1005640,51800,"Aster alpinus L.",NA,"Asteraceae",NA,8,1982,2020,NA,"Least concern",NA
1005660,52000,"Aster bellidiastrum (L.) Scop.",NA,"Asteraceae",NA,14,1982,2025,NA,"Least concern",NA
1005800,53300,"Astragalus australis (L.) Lam.",NA,"Fabaceae",NA,1,2025,2025,NA,"Least concern",NA
1006090,55700,"Athyrium filix-femina (L.) Roth",NA,"Athyriaceae",NA,3,2011,2025,NA,"Least concern",NA
1006140,56300,"Atriplex patula L.",NA,"Amaranthaceae",NA,1,2024,2024,NA,"Least concern",NA
1006200,56600,"Aubrieta deltoidea (L.) DC.",NA,"Brassicaceae",NA,2,2013,2013,NA,"",NA
1006220,56700,"Aurinia saxatilis (L.) Desv.",NA,"Brassicaceae",NA,1,2013,2013,NA,"",NA
1006320,57400,"Avenella flexuosa (L.) Drejer",NA,"Poaceae",NA,6,1982,2025,NA,"Least concern",NA
1006450,58600,"Barbarea vulgaris R. Br.",NA,"Brassicaceae",NA,5,1982,2025,NA,"Least concern",NA
1006460,58700,"Bartsia alpina L.",NA,"Orobanchaceae",NA,11,1982,2025,NA,"Least concern",NA
1006490,59100,"Bellis perennis L.",NA,"Asteraceae",NA,14,1982,2025,NA,"Least concern",NA
1006530,59200,"Berberis vulgaris L.",NA,"Berberidaceae",NA,2,2013,2017,NA,"Least concern",NA
1006595,60450,"Betula pendula aggr.",NA,"Betulaceae",NA,1,1982,2025,NA,"",NA
1006780,62000,"Biscutella laevigata L.",NA,"Brassicaceae",NA,15,1982,2025,NA,"Least concern",NA
1006790,62030,"Biscutella laevigata L. subsp. laevigata",NA,"Brassicaceae",NA,3,2025,2025,NA,"",NA
1006900,62800,"Blysmus compressus (L.) Link",NA,"Cyperaceae",NA,1,1982,2025,NA,"Least concern",NA
1006990,63300,"Botrychium lunaria (L.) Sw.",NA,"Ophioglossaceae",NA,8,1982,2025,NA,"Least concern",NA
1007200,65200,"Briza media L.",NA,"Poaceae",NA,11,1982,2025,NA,"Least concern",NA
1007290,65695,"Bromus erectus Huds.",NA,"Poaceae",NA,8,2013,2025,NA,"Least concern",NA
1007300,65700,"Bromus erectus Huds. subsp. erectus",NA,"Poaceae",NA,3,2024,2025,NA,"Least concern",NA
1007330,66000,"Bromus hordeaceus L.",NA,"Poaceae",NA,4,1966,2025,NA,"Least concern",NA
