"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1042010,375800,"Saxifraga stellaris L.",NA,"Saxifragaceae",NA,6,1982,2017,NA,"Least concern",NA
1041775,376350,"Saxifraga ×kochii Hornung",NA,"Saxifragaceae",NA,3,1968,1999,NA,"",NA
1042090,376500,"Scabiosa columbaria L.",NA,"Caprifoliaceae",NA,3,1982,2019,NA,"Least concern",NA
1042120,377100,"Scabiosa lucida Vill.",NA,"Caprifoliaceae",NA,15,1982,2025,NA,"Least concern",NA
1042750,383200,"Sedum album L.",NA,"Crassulaceae",NA,7,1982,2023,NA,"Least concern",NA
1042760,383300,"Sedum alpestre Vill.",NA,"Crassulaceae",NA,5,1967,2024,NA,"Least concern",NA
1042780,383500,"Sedum annuum L.",NA,"Crassulaceae",NA,1,2024,2024,NA,"Least concern",NA
1042800,383700,"Sedum atratum L.",NA,"Crassulaceae",NA,12,1877,2024,NA,"Least concern",NA
1042840,383900,"Sedum dasyphyllum L.",NA,"Crassulaceae",NA,3,2020,2024,NA,"Least concern",NA
1043100,386300,"Selaginella selaginoides (L.) Schrank & Mart.",NA,"Selaginellaceae",NA,14,1962,2024,NA,"Least concern",NA
1043120,386700,"Sempervivum arachnoideum L.",NA,"Crassulaceae",NA,0,1966,1966,NA,"Least concern",NA
1043160,387000,"Sempervivum montanum L.",NA,"Crassulaceae",NA,3,1962,2021,NA,"Least concern",NA
1043170,387100,"Sempervivum tectorum L.",NA,"Crassulaceae",NA,9,1946,2024,NA,"Least concern",NA
1043250,387600,"Senecio alpinus (L.) Scop.",NA,"Asteraceae",NA,18,2004,2024,NA,"Least concern",NA
1043280,388200,"Senecio doronicum (L.) L.",NA,"Asteraceae",NA,12,1980,2024,NA,"Least concern",NA
1043350,388900,"Senecio hercynicus Herborg",NA,"Asteraceae",NA,2,2009,2019,NA,"Least concern",NA
1043430,389800,"Senecio ovatus (G. Gaertn. & al.) Willd.",NA,"Asteraceae",NA,7,2004,2024,NA,"Least concern",NA
1043425,389870,"Senecio ovatus aggr.",NA,"Asteraceae",NA,9,2004,2024,NA,"",NA
1043520,390400,"Senecio viscosus L.",NA,"Asteraceae",NA,7,2017,2024,NA,"Least concern",NA
1043660,391700,"Seseli libanotis (L.) W. D. J. Koch",NA,"Apiaceae",NA,16,1982,2024,NA,"Least concern",NA
1043700,392200,"Sesleria caerulea (L.) Ard.",NA,"Poaceae",NA,13,1982,2024,NA,"Least concern",NA
1043840,393700,"Sibbaldia procumbens L.",NA,"Rosaceae",NA,1,1962,1962,NA,"Least concern",NA
1043890,394300,"Silene acaulis (L.) Jacq.",NA,"Caryophyllaceae",NA,12,1980,2024,NA,"Least concern",NA
1043940,394900,"Silene dioica (L.) Clairv.",NA,"Caryophyllaceae",NA,12,1982,2025,NA,"Least concern",NA
1043960,395100,"Silene exscapa All.",NA,"Caryophyllaceae",NA,1,1962,1982,NA,"Least concern",NA
1044020,396050,"Silene nutans L.",NA,"Caryophyllaceae",NA,6,1962,2024,NA,"Least concern",NA
1044030,396100,"Silene nutans L. subsp. nutans",NA,"Caryophyllaceae",NA,2,1962,2017,NA,"Least concern",NA
1044080,396800,"Silene rupestris L.",NA,"Caryophyllaceae",NA,2,1962,2017,NA,"Least concern",NA
1044140,397295,"Silene vulgaris (Moench) Garcke",NA,"Caryophyllaceae",NA,13,2004,2024,NA,"Least concern",NA
1044540,400600,"Soldanella alpina L.",NA,"Primulaceae",NA,25,1958,2024,NA,"Least concern",NA
1044560,400800,"Soldanella pusilla Baumg.",NA,"Primulaceae",NA,2,1982,2021,NA,"Least concern",NA
1044620,401395,"Solidago virgaurea L.",NA,"Asteraceae",NA,13,1958,2024,NA,"Least concern",NA
1044640,401500,"Solidago virgaurea subsp. minuta (L.) Arcang.",NA,"Asteraceae",NA,1,1982,2024,NA,"Least concern",NA
1044730,402200,"Sorbus aria (L.) Crantz",NA,"Rosaceae",NA,5,2009,2024,NA,"Least concern",NA
1044725,402250,"Sorbus aria aggr.",NA,"Rosaceae",NA,5,2009,2024,NA,"",NA
1044740,402300,"Sorbus aucuparia L.",NA,"Rosaceae",NA,9,2004,2024,NA,"Least concern",NA
1044770,402400,"Sorbus chamaemespilus (L.) Crantz",NA,"Rosaceae",NA,7,2004,2024,NA,"Least concern",NA
1044870,402900,"Sparganium angustifolium Michx.",NA,"Typhaceae",NA,0,1982,1982,NA,"Near threatened",NA
1045180,405400,"Stachys alpina L.",NA,"Lamiaceae",NA,5,2019,2024,NA,"Least concern",NA
1045350,407100,"Stellaria alsine Grimm",NA,"Caryophyllaceae",NA,0,1982,1982,NA,"Least concern",NA
1045360,407500,"Stellaria graminea L.",NA,"Caryophyllaceae",NA,1,2019,2019,NA,"Least concern",NA
1045400,407805,"Stellaria media aggr.",NA,"Caryophyllaceae",NA,3,2004,2019,NA,"Least concern",NA
1045420,408095,"Stellaria nemorum L.",NA,"Caryophyllaceae",NA,6,2004,2024,NA,"Least concern",NA
1045670,409800,"Streptopus amplexifolius (L.) DC.",NA,"Liliaceae",NA,2,1972,2015,NA,"Least concern",NA
1046040,412500,"Taraxacum cucullatum aggr.",NA,"Asteraceae",NA,2,1984,1999,NA,"Near threatened",NA
1046070,412900,"Taraxacum laevigatum aggr.",NA,"Asteraceae",NA,1,1969,1969,NA,"Least concern",NA
1046080,413100,"Taraxacum officinale aggr.",NA,"Asteraceae",NA,11,1982,2025,NA,"Least concern",NA
1046300,415100,"Teucrium montanum L.",NA,"Lamiaceae",NA,2,2016,2020,NA,"Least concern",NA
1046340,415500,"Thalictrum aquilegiifolium L.",NA,"Ranunculaceae",NA,14,1980,2024,NA,"Least concern",NA
1046400,416195,"Thalictrum minus L.",NA,"Ranunculaceae",NA,12,1982,2025,NA,"Least concern",NA
1046410,416196,"Thalictrum minus L. subsp. minus",NA,"Ranunculaceae",NA,3,2019,2019,NA,"Least concern",NA
1046420,416300,"Thalictrum minus subsp. saxatile Ces.",NA,"Ranunculaceae",NA,1,2022,2022,NA,"Least concern",NA
1046450,417200,"Thesium alpinum L.",NA,"Santalaceae",NA,14,1982,2024,NA,"Least concern",NA
1046500,417700,"Thesium pyrenaicum Pourr.",NA,"Santalaceae",NA,3,2004,2014,NA,"Least concern",NA
1046630,419095,"Thlaspi rotundifolium (L.) Gaudin",NA,"Brassicaceae",NA,4,1902,2024,NA,"Least concern",NA
1046640,419100,"Thlaspi rotundifolium (L.) Gaudin subsp. rotundifolium",NA,"Brassicaceae",NA,3,1902,2024,NA,"Least concern",NA
1046830,420750,"Thymus praecox Opiz",NA,"Lamiaceae",NA,3,1982,2023,NA,"",NA
1046850,420900,"Thymus praecox subsp. polytrichus (Borbás) Jalas",NA,"Lamiaceae",NA,2,1982,2023,NA,"Least concern",NA
1046890,421200,"Thymus serpyllum aggr.",NA,"Lamiaceae",NA,14,1962,2024,NA,"Least concern",NA
1046990,421600,"Tofieldia calyculata (L.) Wahlenb.",NA,"Tofieldiaceae",NA,23,1969,2024,NA,"Least concern",NA
1047090,422400,"Tozzia alpina L.",NA,"Orobanchaceae",NA,1,1914,1914,NA,"Least concern",NA
1047250,423600,"Traunsteinera globosa (L.) Rchb.",NA,"Orchidaceae",NA,17,1982,2024,NA,"Least concern",NA
1047290,423900,"Trichophorum cespitosum (L.) Hartm.",NA,"Cyperaceae",NA,13,1980,2024,NA,"Least concern",NA
1047300,423930,"Trichophorum cespitosum (L.) Hartm. subsp. cespitosum",NA,"Cyperaceae",NA,2,2022,2024,NA,"",NA
1047370,424500,"Trifolium alpinum L.",NA,"Fabaceae",NA,18,1958,2025,NA,"Least concern",NA
1047410,424900,"Trifolium badium Schreb.",NA,"Fabaceae",NA,22,1982,2024,NA,"Least concern",NA
1047460,425595,"Trifolium hybridum L.",NA,"Fabaceae",NA,1,2024,2024,NA,"",NA
1047520,426000,"Trifolium medium L.",NA,"Fabaceae",NA,0,1982,1982,NA,"Least concern",NA
1047570,426700,"Trifolium pallescens Schreb.",NA,"Fabaceae",NA,1,2004,2004,NA,"Least concern",NA
1047600,426895,"Trifolium pratense L.",NA,"Fabaceae",NA,21,1958,2024,NA,"Least concern",NA
1047610,426900,"Trifolium pratense L. subsp. pratense",NA,"Fabaceae",NA,2,1982,2024,NA,"Least concern",NA
1047620,427000,"Trifolium pratense subsp. nivale (W. D. J. Koch) Ces.",NA,"Fabaceae",NA,1,2019,2019,NA,"Least concern",NA
1047630,427100,"Trifolium repens L.",NA,"Fabaceae",NA,14,1958,2025,NA,"Least concern",NA
1047640,427200,"Trifolium repens L. subsp. repens",NA,"Fabaceae",NA,1,1962,1962,NA,"Least concern",NA
1047760,428100,"Trifolium thalii Vill.",NA,"Fabaceae",NA,10,1959,2024,NA,"Least concern",NA
1047770,428200,"Triglochin palustris L.",NA,"Juncaginaceae",NA,5,1969,2024,NA,"Least concern",NA
1047880,429300,"Trisetum distichophyllum (Vill.) P. Beauv.",NA,"Poaceae",NA,1,2024,2024,NA,"Least concern",NA
1048030,430600,"Trollius europaeus L.",NA,"Ranunculaceae",NA,25,1982,2025,NA,"Least concern",NA
1048220,432000,"Tussilago farfara L.",NA,"Asteraceae",NA,13,1982,2024,NA,"Least concern",NA
1048360,433400,"Urtica dioica L.",NA,"Urticaceae",NA,12,1982,2024,NA,"Least concern",NA
1048470,434500,"Vaccinium gaultherioides Bigelow",NA,"Ericaceae",NA,9,2024,2025,NA,"Least concern",NA
1048500,434800,"Vaccinium myrtillus L.",NA,"Ericaceae",NA,29,1958,2025,NA,"Least concern",NA
1048530,435000,"Vaccinium uliginosum L.",NA,"Ericaceae",NA,1,2017,2017,NA,"Near threatened",NA
1048520,435100,"Vaccinium uliginosum aggr.",NA,"Ericaceae",NA,21,1958,2025,NA,"Least concern",NA
1048540,435300,"Vaccinium vitis-idaea L.",NA,"Ericaceae",NA,11,1958,2024,NA,"Least concern",NA
1048580,435600,"Valeriana dioica L.",NA,"Caprifoliaceae",NA,1,2014,2014,NA,"Least concern",NA
1048590,435700,"Valeriana montana L.",NA,"Caprifoliaceae",NA,1,1982,2024,NA,"Least concern",NA
1048600,435900,"Valeriana officinalis aggr.",NA,"Caprifoliaceae",NA,9,1982,2024,NA,"Least concern",NA
1048620,436000,"Valeriana pratensis Dierb.",NA,"Caprifoliaceae",NA,1,1982,1982,NA,"Data deficient",NA
1048690,436700,"Valeriana tripteris L.",NA,"Caprifoliaceae",NA,9,1982,2024,NA,"Least concern",NA
1048820,437800,"Veratrum album L.",NA,"Melanthiaceae",NA,25,1982,2024,NA,"Least concern",NA
1048840,438000,"Veratrum album subsp. lobelianum (Bernh.) Arcang.",NA,"Melanthiaceae",NA,2,2023,2024,NA,"Least concern",NA
