"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1025190,221000,"Kernera saxatilis (L.) Sweet",NA,"Brassicaceae",NA,1,1982,2019,NA,"Least concern",NA
1025230,221400,"Knautia arvensis (L.) Coult.",NA,"Caprifoliaceae",NA,1,2025,2025,NA,"Least concern",NA
1026290,232700,"Leontodon autumnalis L.",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1026310,232900,"Leontodon helveticus Mérat",NA,"Asteraceae",NA,11,1982,2022,NA,"Least concern",NA
1026330,233000,"Leontodon hispidus L.",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1026430,234000,"Leontodon montanus Lam.",NA,"Asteraceae",NA,1,1982,2007,NA,"Least concern",NA
1026470,234600,"Leontopodium alpinum Cass.",NA,"Asteraceae",NA,9,1982,2025,NA,"Least concern",NA
1026600,236000,"Leucanthemopsis alpina (L.) Heywood",NA,"Asteraceae",NA,24,1910,2025,NA,"Least concern",NA
1026610,236020,"Leucanthemopsis alpina (L.) Heywood subsp. alpina",NA,"Asteraceae",NA,3,2019,2022,NA,"Least concern",NA
1026630,236030,"Leucanthemopsis alpina subsp. minima (Vill.) Holub",NA,"Asteraceae",NA,1,1999,1999,NA,"Least concern",NA
1026810,237800,"Ligusticum mutellina (L.) Crantz",NA,"Apiaceae",NA,7,1982,2023,NA,"Least concern",NA
1026820,237900,"Ligusticum mutellinoides Vill.",NA,"Apiaceae",NA,7,1982,2025,NA,"Least concern",NA
1026920,238800,"Linaria alpina (L.) Mill.",NA,"Plantaginaceae",NA,8,1982,2024,NA,"Least concern",NA
1026930,238900,"Linaria alpina (L.) Mill. subsp. alpina",NA,"Plantaginaceae",NA,2,1982,2021,NA,"Least concern",NA
1027250,242500,"Lloydia serotina (L.) Rchb.",NA,"Liliaceae",NA,6,1982,2024,NA,"Least concern",NA
1027290,242600,"Loiseleuria procumbens (L.) Desv.",NA,"Ericaceae",NA,4,1982,2022,NA,"Least concern",NA
1027500,244300,"Lotus alpinus (DC.) Ramond",NA,"Fabaceae",NA,3,2022,2025,NA,"Least concern",NA
1027510,244410,"Lotus corniculatus aggr.",NA,"Fabaceae",NA,3,2022,2025,NA,"Least concern",NA
1027670,246000,"Luzula alpinopilosa (Chaix) Breistr.",NA,"Juncaceae",NA,12,1982,2025,NA,"Least concern",NA
