"","X","predator","q0","q1","q2","chao1","species","site","age","time_min","time_hour","day","month","year.x","beak_colour","color","temperature","clouds","clouds_height","winds","precipitation","fresh_snow","snow_height","cover_snow","elevation","weight","fat","muscle","sex_genetics","timekey","key_m100","capture_day","E1","E1_adj","total_ra","anthropo_ra","failures","ringnr","recapture","year.y","recap_num","nrecapture"
"18",18,"N630167",4,0.115336851038545,0.0447523881814328,4,"Montifringilla nivalis","Tiefenbach",6,15,8,1,4,2023,8.5,"grey",-4,8,NA,0,"snow",10,NA,98,2102,37.5,2,1,"f","2023-04-01 08:15","2023-04-01 06:35:00","2023-04-01",0.0288342127596363,0.0336915920095369,2426593,2375541,51052,630167,"first capture",2022,0,1
"19",19,"N630186",35,0.516366133204145,0.199787794949511,35,"Montifringilla nivalis","Distelboden",4,30,11,12,1,2023,1,"white",0,8,NA,2,"no",10,NA,94,1898,50,5,1,"m","2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12",0.014753318091547,0.0197558612040053,3627508,3405117,222391,630186,"first capture",2023,0,0
"20",20,"N630187",31,0.755648975214467,0.363346685449521,31,"Montifringilla nivalis","Distelboden",4,30,11,12,1,2023,2,"white",0,8,NA,2,"no",10,NA,94,1898,49.5,6,2,"f","2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12",0.0243757733940151,0.0292791159363448,3292298,3072315,219983,630187,"first capture",2023,0,0
"21",21,"N630191",50,2.07641706084987,0.823461377343552,50,"Montifringilla nivalis","Tiefenbach",5,25,10,18,1,2023,3,"white",-11,1,NA,2,"no",3,NA,98,2102,36.5,4,1,"m","2023-01-18 10:25","2023-01-18 08:45:00","2023-01-18",0.0415283412169974,0.0462548531632139,3058861,842537,2216324,630191,"first capture",2023,0,0
"22",22,"N630193",25,1.71090339220069,0.732031238993023,25,"Montifringilla nivalis","Tiefenbach",5,25,10,18,1,2023,2,"white",-11,1,NA,2,"no",3,NA,98,2102,39.5,3,1,"f","2023-01-18 10:25","2023-01-18 08:45:00","2023-01-18",0.0684361356880276,0.0728852476912438,3493870,458695,3035175,630193,"first capture",2023,0,0
"23",23,"N630199",169,1.29628222431163,0.550065968021398,169,"Montifringilla nivalis","Tiefenbach",6,25,12,28,2,2024,7,"black",-2,8,NA,NA,"no",2,NA,97,2102,42,3,2,"m","2024-02-28 12:25","2024-02-28 10:45:00","2024-02-28",0.00767030901959544,0.0127458728441357,3859669,2466247,1393422,630199,"first capture",2023,0,1
"24",24,"N630200",9,1.33565461315921,0.679705335564448,9,"Montifringilla nivalis","Tiefenbach",5,0,10,19,1,2023,3,"white",-12,2,NA,0,"no",20,NA,98,2102,43.5,5,1,"f","2023-01-19 10:00","2023-01-19 08:20:00","2023-01-19",0.148406068128801,0.152030747838813,1930821,0,1930821,630200,"first capture",2023,0,0
"25",25,"N630278",1,0,0,1,"Montifringilla nivalis","Distelboden",4,5,15,23,2,2024,5,"black",NA,7,NA,1,"no",10,NA,97,1898,41.5,3,2,"m","2024-02-23 15:05","2024-02-23 13:25:00","2024-02-23",0,0.00515463917525773,76871,76871,0,630278,"first capture",2024,0,0
"26",26,"N630281",2,0.552146649127208,0.365762849579483,2,"Montifringilla nivalis","Tiefenbach",5,5,9,28,2,2024,5.5,"black",-2,8,NA,NA,"no",2,NA,97,2102,45,5,2,"f","2024-02-28 09:05","2024-02-28 07:25:00","2024-02-28",0.276073324563604,0.278381846990783,3562375,3562375,0,630281,"first capture",2024,0,0
"27",27,"N630285a",8,0.27310338877534,0.106218678923872,8,"Montifringilla nivalis","Tiefenbach",4,20,8,18,4,2024,9,"black",-9,8,NA,0,"snow",10,NA,97,2102,37.5,1,2,"m","2024-04-18 08:20","2024-04-18 06:40:00","2024-04-18",0.0341379235969175,0.038940625415506,4020524,3799199,221325,630285,"first capture",2024,0,4
"28",28,"N630285b",24,0.334263792165136,0.114644695085665,24,"Montifringilla nivalis","Tiefenbach",5,12,9,28,2,2024,4.5,"black",-2,8,NA,NA,"no",2,NA,97,2102,40,4,2,"m","2024-02-28 09:12","2024-02-28 07:32:00","2024-02-28",0.0139276580068807,0.0189387130789747,3517032,3343773,173259,630285,"first capture",2024,0,4
"29",29,"N630300",126,2.08877950967682,0.843963560061734,126,"Montifringilla nivalis","Tiefenbach",5,25,12,28,2,2024,4,"black",-2,8,NA,NA,"no",2,NA,97,2102,35,3,2,"f","2024-02-28 12:25","2024-02-28 10:45:00","2024-02-28",0.0165776151561652,0.0215613510823903,3971669,1654208,2317461,630300,"first capture",2024,0,0
"30",30,"N630351",1,0,0,1,"Montifringilla nivalis","Distelboden",4,30,11,12,1,2023,2,"grey",0,8,NA,2,"no",10,NA,94,1898,49,5,1,"f","2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12",0,0.00515463917525773,200379,200379,0,630351,"first capture",2021,0,1
"31",31,"N630502",41,1.61891228403123,0.716970087171925,41,"Montifringilla nivalis","Tiefenbach",6,30,15,18,1,2023,3,"white",-11,1,NA,2,"no",3,NA,98,2102,43.5,6,1,"f","2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18",0.0394856654641763,0.0442332359233085,3288298,34117,3254181,630502,"first capture",2020,0,2
"32",32,"N630511",21,0.161521472418878,0.0519396509121973,21,"Montifringilla nivalis","Tiefenbach",6,25,10,18,1,2023,2,"grey",-11,1,NA,2,"no",3,NA,98,2102,47.5,5,1,"m","2023-01-18 10:25","2023-01-18 08:45:00","2023-01-18",0.00769149868661324,0.0127668440609781,3859279,3757220,102059,630511,"first capture",2020,0,3
"33",33,"N630530",6,0.0450197266143583,0.011977775870059,6,"Montifringilla nivalis","Distelboden",6,55,12,24,3,2024,6.5,"grey",-5,8,NA,1,"snow",15,NA,97,1898,41,3,2,"f","2024-03-24 12:55","2024-03-24 11:15:00","2024-03-24",0.00750328776905972,0.0125805734621622,3341533,3329989,11544,630530,"first capture",2020,0,2
"34",34,"N630630",5,0.0393213154626942,0.0121006724387284,5,"Montifringilla nivalis","Distelboden",6,52,9,13,3,2025,9,"black",NA,8,1900,2,"snow",10,160,100,1899,41,3,2,"m","2025-03-13 09:52","2025-03-13 08:12:00","2025-03-13",0.00786426309253884,0.0129378273905539,3624770,3622334,2436,630630,"first capture",2021,0,2
"35",35,"N630641",96,1.73370080471855,0.73300446990683,96,"Montifringilla nivalis","Tiefenbach",6,35,17,27,3,2024,10,"black",-2,8,NA,0,"no",30,NA,97,2102,43,3,2,"m","2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27",0.0180593833824849,0.0230278433476139,2946801,409543,2537258,630641,"first capture",2021,0,3
