otu,otu_phylum,otu_class,otu_order,otu_family,otu_genus,otu_species,anthropogenic,Functionnal group,comments,date
otu20,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Unclassified,Unclassified,FALSE,forb,,
otu147,Streptophyta,Magnoliopsida,Caryophyllales,Unclassified,Unclassified,Unclassified,FALSE,forb,,
otu208,Streptophyta,Magnoliopsida,Caryophyllales,Unclassified,Unclassified,Unclassified,FALSE,forb,,
otu12,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu347,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu43,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu542,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu591,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu689,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu695,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu715,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu726,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu787,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu788,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu841,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu843,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu845,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu904,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu905,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu909,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu910,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu917,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu927,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu929,Streptophyta,Magnoliopsida,Lamiales,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu230,Streptophyta,Magnoliopsida,Liliales,Unclassified,Unclassified,Unclassified,FALSE,forb,,
otu364,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Unclassified,FALSE,graminoid,,
otu679,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Unclassified,FALSE,graminoid,,
otu158,Streptophyta,Magnoliopsida,Ranunculales,Unclassified,Unclassified,Unclassified,FALSE,forb,,
otu601,Streptophyta,Magnoliopsida,Sapindales,Unclassified,Unclassified,Unclassified,FALSE,Tree / shrub,,
otu156,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu18,Streptophyta,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu232,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu259,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu305,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu344,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu37,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu379,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu399,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu41,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu452,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu476,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu48,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu481,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu482,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu491,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu493,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu496,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu498,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu502,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu509,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu512,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu520,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu521,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu522,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu527,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu532,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu535,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu540,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu541,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu551,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu552,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu554,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu555,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu558,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu562,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu565,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu566,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu568,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu573,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu575,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu585,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu586,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu587,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu593,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu594,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu599,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu60,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu603,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu604,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu607,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu611,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu613,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu614,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu615,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu617,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu634,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu635,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu651,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu653,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu654,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu660,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu67,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu674,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu675,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu676,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu682,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu693,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu703,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu704,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu710,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu731,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu771,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu777,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu789,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu809,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu823,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu824,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu827,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu829,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu83,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu830,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu860,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu867,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu878,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu88,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu887,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu908,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu911,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu914,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu938,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu957,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Unclassified,FALSE,Unknown,,
otu62,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica,FALSE,forb,,
otu25,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Unclassified,FALSE,shrub,,
otu49,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Unclassified,FALSE,shrub,,
otu839,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Unclassified,FALSE,shrub,,
otu916,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Unclassified,FALSE,shrub,,
otu499,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium oxycoccos,FALSE,shrub,,
otu32,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-idaea,FALSE,shrub,,
otu6,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-idaea,FALSE,shrub,,
otu139,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Unclassified,FALSE,forb,,
otu85,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica anagallis-aquatica,FALSE,forb,,
otu133,Streptophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Unclassified,FALSE,forb,,
otu36,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Unclassified,FALSE,graminoid,,
otu40,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays,TRUE,graminoid,corn,
